asset_id,component_name,version,ecosystem,source,vulnerability_id,cve_ids,summary,details,modified,published,aliases
ASSET-001,django,3.2.10,PyPI,OSV,GHSA-frmv-pr5f-9mcr,['CVE-2025-64459'],Django vulnerable to SQL injection via _connector keyword argument in QuerySet and Q objects.,"An issue was discovered in 5.1 before 5.1.14, 4.2 before 4.2.26, and 5.2 before 5.2.8.
The methods `QuerySet.filter()`, `QuerySet.exclude()`, and `QuerySet.get()`, and the class `Q()`, are subject to SQL injection when using a suitably crafted dictionary, with dictionary expansion, as the `_connector` argument.
Earlier, unsupported Django series (such as 5.0.x, 4.1.x, and 3.2.x) were not evaluated and may also be affected.
Django would like to thank cyberstan for reporting this issue.",2026-06-05T14:45:52.053173828Z,2025-11-05T15:31:07Z,"['BIT-django-2025-64459', 'CVE-2025-64459', 'PYSEC-2025-108']"
ASSET-001,django,3.2.10,PyPI,OSV,GHSA-h8gc-pgj2-vjm3,['CVE-2023-43665'],Django Denial-of-service in django.utils.text.Truncator,"In Django 3.2 before 3.2.22, 4.1 before 4.1.12, and 4.2 before 4.2.6, the django.utils.text.Truncator chars() and words() methods (when used with html=True) are subject to a potential DoS (denial of service) attack via certain inputs with very long, potentially malformed HTML text. The chars() and words() methods are used to implement the truncatechars_html and truncatewords_html template filters, which are thus also vulnerable. NOTE: this issue exists because of an incomplete fix for CVE-2019-14232.",2025-11-04T20:42:38.556437Z,2023-11-03T06:36:30Z,"['BIT-django-2023-43665', 'CVE-2023-43665', 'PYSEC-2023-226']"
ASSET-001,django,3.2.10,PyPI,OSV,GHSA-jh3w-4vvf-mjgr,['CVE-2023-36053'],Django has regular expression denial of service vulnerability in EmailValidator/URLValidator,"In Django 3.2 before 3.2.20, 4 before 4.1.10, and 4.2 before 4.2.3, `EmailValidator` and `URLValidator` are subject to a potential ReDoS (regular expression denial of service) attack via a very large number of domain name labels of emails and URLs.",2025-11-04T19:59:10.496692Z,2023-07-03T15:30:45Z,"['BIT-django-2023-36053', 'CVE-2023-36053', 'PYSEC-2023-100']"
ASSET-001,django,3.2.10,PyPI,OSV,GHSA-jrh2-hc4r-7jwx,['CVE-2021-45452'],Directory-traversal in Django,"Storage.save in Django 2.2 before 2.2.26, 3.2 before 3.2.11, and 4.0 before 4.0.1 allows directory traversal if crafted filenames are directly passed to it.",2024-09-20T12:22:54.101910Z,2022-01-12T19:21:04Z,"['BIT-django-2021-45452', 'CVE-2021-45452', 'PYSEC-2022-3']"
ASSET-001,django,3.2.10,PyPI,OSV,GHSA-p64x-8rxx-wf6q,['CVE-2022-34265'],Django `Trunc()` and `Extract()` database functions vulnerable to SQL Injection,An issue was discovered in Django 3.2 before 3.2.14 and 4.0 before 4.0.6. The `Trunc()` and `Extract()` database functions are subject to SQL injection if untrusted data is used as a kind/lookup_name value. Applications that constrain the lookup name and kind choice to a known safe list are unaffected.,2025-02-21T05:27:38.084922Z,2022-07-05T00:00:53Z,"['BIT-django-2022-34265', 'CVE-2022-34265', 'PYSEC-2022-213']"
ASSET-001,django,3.2.10,PyPI,OSV,GHSA-q2jf-h9jm-m7p4,['CVE-2023-23969'],Django contains Uncontrolled Resource Consumption via cached header,"In Django 3.2 before 3.2.17, 4.0 before 4.0.9, and 4.1 before 4.1.6, the parsed values of Accept-Language headers are cached in order to avoid repetitive parsing. This leads to a potential denial-of-service vector via excessive memory usage if the raw value of Accept-Language headers is very large.",2024-09-20T15:47:43.845538Z,2023-02-01T21:30:23Z,"['BIT-django-2023-23969', 'CVE-2023-23969', 'PYSEC-2023-12']"
ASSET-001,django,3.2.10,PyPI,OSV,GHSA-qmf9-6jqf-j8fq,['CVE-2023-46695'],Django potential denial of service vulnerability in UsernameField on Windows,"An issue was discovered in Django 3.2 before 3.2.23, 4.1 before 4.1.13, and 4.2 before 4.2.7. The NFKC normalization is slow on Windows. As a consequence, django.contrib.auth.forms.UsernameField is subject to a potential DoS (denial of service) attack via certain inputs with a very large number of Unicode characters.",2024-09-20T16:07:45.381236Z,2023-11-02T06:30:25Z,"['BIT-django-2023-46695', 'CVE-2023-46695', 'PYSEC-2023-222']"
ASSET-001,django,3.2.10,PyPI,OSV,GHSA-qrw5-5h28-6cmg,['CVE-2022-41323'],Django denial-of-service vulnerability in internationalized URLs,"In Django 3.2 before 3.2.16, 4.0 before 4.0.8, and 4.1 before 4.1.2, internationalized URLs were subject to a potential denial of service attack via the locale parameter, which is treated as a regular expression. ",2024-09-20T15:48:03.376641Z,2022-10-16T12:00:23Z,"['BIT-django-2022-41323', 'CVE-2022-41323', 'PYSEC-2022-304']"
ASSET-001,django,3.2.10,PyPI,OSV,GHSA-qw25-v68c-qjf3,['CVE-2025-64458'],Django has a denial-of-service vulnerability in HttpResponseRedirect and HttpResponsePermanentRedirect on Windows,"An issue was discovered in 5.1 before 5.1.14, 4.2 before 4.2.26, and 5.2 before 5.2.8.
NFKC normalization in Python is slow on Windows. As a consequence, `django.http.HttpResponseRedirect`, `django.http.HttpResponsePermanentRedirect`, and the shortcut `django.shortcuts.redirect`  were subject to a potential  denial-of-service attack via certain inputs with a very large number of Unicode characters.
Earlier, unsupported Django series (such as 5.0.x, 4.1.x, and 3.2.x) were not evaluated and may also be affected.
Django would like to thank Seokchan Yoon for reporting this issue.",2026-06-05T14:45:50.558008837Z,2025-11-05T15:31:07Z,"['BIT-django-2025-64458', 'CVE-2025-64458', 'PYSEC-2025-107']"
ASSET-001,django,3.2.10,PyPI,OSV,GHSA-r3xc-prgr-mg9p,['CVE-2023-31047'],Django bypasses validation when using one form field to upload multiple files,"In Django 3.2 before 3.2.19, 4.x before 4.1.9, and 4.2 before 4.2.1, it was possible to bypass validation when using one form field to upload multiple files. This multiple upload has never been supported by forms.FileField or forms.ImageField (only the last uploaded file was validated). However, Django's ""Uploading multiple files"" documentation suggested otherwise.",2025-02-21T05:31:37.748535Z,2023-05-07T03:30:17Z,"['BIT-django-2023-31047', 'CVE-2023-31047', 'PYSEC-2023-61']"
ASSET-001,django,3.2.10,PyPI,OSV,GHSA-rrqc-c2jx-6jgv,['CVE-2024-45231'],Django allows enumeration of user e-mail addresses,"An issue was discovered in Django v5.1.1, v5.0.9, and v4.2.16. The django.contrib.auth.forms.PasswordResetForm class, when used in a view implementing password reset flows, allows remote attackers to enumerate user e-mail addresses by sending password reset requests and observing the outcome (only when e-mail sending is consistently failing).",2026-07-07T17:57:34.018251439Z,2024-10-08T18:33:13Z,"['BIT-django-2024-45231', 'CVE-2024-45231', 'PYSEC-2026-1297']"
ASSET-001,django,3.2.10,PyPI,OSV,GHSA-vm8q-m57g-pff3,['CVE-2024-27351'],Regular expression denial-of-service in Django,"In Django 3.2 before 3.2.25, 4.2 before 4.2.11, and 5.0 before 5.0.3, the django.utils.text.Truncator.words() method (with html=True) and the truncatewords_html template filter are subject to a potential regular expression denial-of-service attack via a crafted string. NOTE: this issue exists because of an incomplete fix for CVE-2019-14232 and CVE-2023-43665.",2026-02-04T02:32:13.286575Z,2024-03-15T21:30:43Z,"['BIT-django-2024-27351', 'CVE-2024-27351', 'PYSEC-2024-47']"
ASSET-001,django,3.2.10,PyPI,OSV,GHSA-w24h-v9qh-8gxj,['CVE-2022-28347'],SQL Injection in Django,"A SQL injection issue was discovered in `QuerySet.explain()` in Django 2.2 before 2.2.28, 3.2 before 3.2.13, and 4.0 before 4.0.4. This occurs by passing a crafted dictionary (with dictionary expansion) as the `**options` argument, and placing the injection payload in an option name.",2025-02-21T05:41:01.294618Z,2022-04-13T00:00:33Z,"['BIT-django-2022-28347', 'CVE-2022-28347', 'PYSEC-2022-191']"
ASSET-001,django,3.2.10,PyPI,OSV,GHSA-xxj9-f6rv-m3x4,['CVE-2024-24680'],Django denial-of-service attack in the intcomma template filter,"An issue was discovered in Django 3.2 before 3.2.24, 4.2 before 4.2.10, and Django 5.0 before 5.0.2. The intcomma template filter was subject to a potential denial-of-service attack when used with very long strings.",2026-02-04T03:10:01.326791Z,2024-02-07T00:30:25Z,"['BIT-django-2024-24680', 'CVE-2024-24680', 'PYSEC-2024-28']"
ASSET-001,django,3.2.10,PyPI,OSV,PYSEC-2022-1,['CVE-2021-45115'],,"An issue was discovered in Django 2.2 before 2.2.26, 3.2 before 3.2.11, and 4.0 before 4.0.1. UserAttributeSimilarityValidator incurred significant overhead in evaluating a submitted password that was artificially large in relation to the comparison values. In a situation where access to user registration was unrestricted, this provided a potential vector for a denial-of-service attack.",2023-12-06T01:01:43.028018Z,2022-01-05T00:15:00Z,"['BIT-django-2021-45115', 'CVE-2021-45115', 'GHSA-53qw-q765-4fww']"
ASSET-001,django,3.2.10,PyPI,OSV,PYSEC-2022-19,['CVE-2022-22818'],,"The {% debug %} template tag in Django 2.2 before 2.2.27, 3.2 before 3.2.12, and 4.0 before 4.0.2 does not properly encode the current context. This may lead to XSS.",2023-12-06T01:01:58.226668Z,2022-02-03T02:15:00Z,"['BIT-django-2022-22818', 'CVE-2022-22818', 'GHSA-95rw-fx8r-36v6']"
ASSET-001,django,3.2.10,PyPI,OSV,PYSEC-2022-190,['CVE-2022-28346'],,"An issue was discovered in Django 2.2 before 2.2.28, 3.2 before 3.2.13, and 4.0 before 4.0.4. QuerySet.annotate(), aggregate(), and extra() methods are subject to SQL injection in column aliases via a crafted dictionary (with dictionary expansion) as the passed **kwargs.",2023-12-06T01:02:11.594317Z,2022-04-12T05:15:00Z,"['BIT-django-2022-28346', 'CVE-2022-28346', 'GHSA-2gwj-7jmv-h26r']"
ASSET-001,django,3.2.10,PyPI,OSV,PYSEC-2022-191,['CVE-2022-28347'],,"A SQL injection issue was discovered in QuerySet.explain() in Django 2.2 before 2.2.28, 3.2 before 3.2.13, and 4.0 before 4.0.4. This occurs by passing a crafted dictionary (with dictionary expansion) as the **options argument, and placing the injection payload in an option name.",2023-12-06T01:02:11.666037Z,2022-04-12T05:15:00Z,"['BIT-django-2022-28347', 'CVE-2022-28347', 'GHSA-w24h-v9qh-8gxj']"
ASSET-001,django,3.2.10,PyPI,OSV,PYSEC-2022-2,['CVE-2021-45116'],,"An issue was discovered in Django 2.2 before 2.2.26, 3.2 before 3.2.11, and 4.0 before 4.0.1. Due to leveraging the Django Template Language's variable resolution logic, the dictsort template filter was potentially vulnerable to information disclosure, or an unintended method call, if passed a suitably crafted key.",2023-12-06T01:01:43.088680Z,2022-01-05T00:15:00Z,"['BIT-django-2021-45116', 'CVE-2021-45116', 'GHSA-8c5j-9r9f-c6w8']"
ASSET-001,django,3.2.10,PyPI,OSV,PYSEC-2022-20,['CVE-2022-23833'],,"An issue was discovered in MultiPartParser in Django 2.2 before 2.2.27, 3.2 before 3.2.12, and 4.0 before 4.0.2. Passing certain inputs to multipart forms could result in an infinite loop when parsing files.",2023-12-06T01:02:02.697371Z,2022-02-03T02:15:00Z,"['BIT-django-2022-23833', 'CVE-2022-23833', 'GHSA-6cw3-g6wv-c2xv']"
ASSET-001,django,3.2.10,PyPI,OSV,PYSEC-2022-213,['CVE-2022-34265'],,An issue was discovered in Django 3.2 before 3.2.14 and 4.0 before 4.0.6. The Trunc() and Extract() database functions are subject to SQL injection if untrusted data is used as a kind/lookup_name value. Applications that constrain the lookup name and kind choice to a known safe list are unaffected.,2023-12-06T01:02:23.703337Z,2022-07-04T16:15:00Z,"['BIT-django-2022-34265', 'CVE-2022-34265', 'GHSA-p64x-8rxx-wf6q']"
ASSET-001,django,3.2.10,PyPI,OSV,PYSEC-2022-245,['CVE-2022-36359'],,An issue was discovered in the HTTP FileResponse class in Django 3.2 before 3.2.15 and 4.0 before 4.0.7. An application is vulnerable to a reflected file download (RFD) attack that sets the Content-Disposition header of a FileResponse when the filename is derived from user-supplied input.,2025-01-14T11:27:04.205746Z,2022-08-03T14:15:00Z,"['BIT-django-2022-36359', 'CVE-2022-36359', 'GHSA-8x94-hmjh-97hq']"
ASSET-001,django,3.2.10,PyPI,OSV,PYSEC-2022-3,['CVE-2021-45452'],,"Storage.save in Django 2.2 before 2.2.26, 3.2 before 3.2.11, and 4.0 before 4.0.1 allows directory traversal if crafted filenames are directly passed to it.",2023-12-06T01:01:43.819827Z,2022-01-05T00:15:00Z,"['BIT-django-2021-45452', 'CVE-2021-45452', 'GHSA-jrh2-hc4r-7jwx']"
ASSET-001,django,3.2.10,PyPI,OSV,PYSEC-2022-304,['CVE-2022-41323'],,"In Django 3.2 before 3.2.16, 4.0 before 4.0.8, and 4.1 before 4.1.2, internationalized URLs were subject to a potential denial of service attack via the locale parameter, which is treated as a regular expression.",2026-06-10T17:01:02.167352048Z,2022-10-16T06:15:00Z,"['BIT-django-2022-41323', 'CVE-2022-41323', 'GHSA-qrw5-5h28-6cmg']"
ASSET-001,django,3.2.10,PyPI,OSV,PYSEC-2023-100,['CVE-2023-36053'],,"In Django 3.2 before 3.2.20, 4 before 4.1.10, and 4.2 before 4.2.3, EmailValidator and URLValidator are subject to a potential ReDoS (regular expression denial of service) attack via a very large number of domain name labels of emails and URLs.",2026-06-10T17:01:02.152157540Z,2023-07-03T13:15:00Z,"['BIT-django-2023-36053', 'CVE-2023-36053', 'GHSA-jh3w-4vvf-mjgr']"
ASSET-001,django,3.2.10,PyPI,OSV,PYSEC-2023-12,['CVE-2023-23969'],,"In Django 3.2 before 3.2.17, 4.0 before 4.0.9, and 4.1 before 4.1.6, the parsed values of Accept-Language headers are cached in order to avoid repetitive parsing. This leads to a potential denial-of-service vector via excessive memory usage if the raw value of Accept-Language headers is very large.",2026-06-10T17:01:02.189898268Z,2023-02-01T19:15:00Z,"['BIT-django-2023-23969', 'CVE-2023-23969', 'GHSA-q2jf-h9jm-m7p4']"
ASSET-001,django,3.2.10,PyPI,OSV,PYSEC-2023-13,['CVE-2023-24580'],,"An issue was discovered in the Multipart Request Parser in Django 3.2 before 3.2.18, 4.0 before 4.0.10, and 4.1 before 4.1.7. Passing certain inputs (e.g., an excessive number of parts) to multipart forms could result in too many open files or memory exhaustion, and provided a potential vector for a denial-of-service attack.",2026-06-10T17:01:02.618509676Z,2023-02-15T01:15:00Z,"['BIT-django-2023-24580', 'CVE-2023-24580', 'GHSA-2hrw-hx67-34x6']"
ASSET-001,django,3.2.10,PyPI,OSV,PYSEC-2023-222,['CVE-2023-46695'],,"An issue was discovered in Django 3.2 before 3.2.23, 4.1 before 4.1.13, and 4.2 before 4.2.7. The NFKC normalization is slow on Windows. As a consequence, django.contrib.auth.forms.UsernameField is subject to a potential DoS (denial of service) attack via certain inputs with a very large number of Unicode characters.",2026-06-10T17:01:02.672946253Z,2023-11-02T06:15:00Z,"['BIT-django-2023-46695', 'CVE-2023-46695', 'GHSA-qmf9-6jqf-j8fq']"
ASSET-001,django,3.2.10,PyPI,OSV,PYSEC-2023-225,['CVE-2023-41164'],,"In Django 3.2 before 3.2.21, 4.1 before 4.1.11, and 4.2 before 4.2.5, django.utils.encoding.uri_to_iri() is subject to a potential DoS (denial of service) attack via certain inputs with a very large number of Unicode characters.",2026-06-10T17:01:02.864153219Z,2023-11-03T05:15:00Z,"['BIT-django-2023-41164', 'CVE-2023-41164', 'GHSA-7h4p-27mh-hmrw']"
ASSET-001,django,3.2.10,PyPI,OSV,PYSEC-2023-226,['CVE-2023-43665'],,"In Django 3.2 before 3.2.22, 4.1 before 4.1.12, and 4.2 before 4.2.6, the django.utils.text.Truncator chars() and words() methods (when used with html=True) are subject to a potential DoS (denial of service) attack via certain inputs with very long, potentially malformed HTML text. The chars() and words() methods are used to implement the truncatechars_html and truncatewords_html template filters, which are thus also vulnerable. NOTE: this issue exists because of an incomplete fix for CVE-2019-14232.",2026-06-10T17:01:03.986909758Z,2023-11-03T05:15:00Z,"['BIT-django-2023-43665', 'CVE-2023-43665', 'GHSA-h8gc-pgj2-vjm3']"
ASSET-001,django,3.2.10,PyPI,OSV,PYSEC-2023-61,['CVE-2023-31047'],,"In Django 3.2 before 3.2.19, 4.x before 4.1.9, and 4.2 before 4.2.1, it was possible to bypass validation when using one form field to upload multiple files. This multiple upload has never been supported by forms.FileField or forms.ImageField (only the last uploaded file was validated). However, Django's ""Uploading multiple files"" documentation suggested otherwise.",2026-06-10T17:00:52.468237476Z,2023-05-07T02:15:00Z,"['BIT-django-2023-31047', 'CVE-2023-31047', 'GHSA-r3xc-prgr-mg9p']"
ASSET-001,django,3.2.10,PyPI,OSV,PYSEC-2024-28,['CVE-2024-24680'],,"An issue was discovered in Django 3.2 before 3.2.24, 4.2 before 4.2.10, and Django 5.0 before 5.0.2. The intcomma template filter was subject to a potential denial-of-service attack when used with very long strings.",2026-06-10T17:01:04.400725588Z,2024-02-06T22:16:00Z,"['BIT-django-2024-24680', 'CVE-2024-24680', 'GHSA-xxj9-f6rv-m3x4']"
ASSET-001,django,3.2.10,PyPI,OSV,PYSEC-2024-47,['CVE-2024-27351'],,"In Django 3.2 before 3.2.25, 4.2 before 4.2.11, and 5.0 before 5.0.3, the django.utils.text.Truncator.words() method (with html=True) and the truncatewords_html template filter are subject to a potential regular expression denial-of-service attack via a crafted string. NOTE: this issue exists because of an incomplete fix for CVE-2019-14232 and CVE-2023-43665.",2026-06-10T17:01:04.763038493Z,2024-03-15T20:15:00Z,"['BIT-django-2024-27351', 'CVE-2024-27351', 'GHSA-vm8q-m57g-pff3']"
ASSET-001,django,3.2.10,PyPI,OSV,PYSEC-2026-1297,['CVE-2024-45231'],Django allows enumeration of user e-mail addresses,"An issue was discovered in Django v5.1.1, v5.0.9, and v4.2.16. The django.contrib.auth.forms.PasswordResetForm class, when used in a view implementing password reset flows, allows remote attackers to enumerate user e-mail addresses by sending password reset requests and observing the outcome (only when e-mail sending is consistently failing).",2026-07-07T17:57:34.018251439Z,2026-07-07T14:34:42.697597Z,"['BIT-django-2024-45231', 'CVE-2024-45231', 'GHSA-rrqc-c2jx-6jgv']"
ASSET-001,requests,2.25.1,PyPI,OSV,GHSA-9hjg-9r4m-mvj7,['CVE-2024-47081'],Requests vulnerable to .netrc credentials leak via malicious URLs,"### Impact

Due to a URL parsing issue, Requests releases prior to 2.32.4 may leak .netrc credentials to third parties for specific maliciously-crafted URLs.

### Workarounds
For older versions of Requests, use of the .netrc file can be disabled with `trust_env=False` on your Requests Session ([docs](https://requests.readthedocs.io/en/latest/api/#requests.Session.trust_env)).

### References
https://github.com/psf/requests/pull/6965
https://seclists.org/fulldisclosure/2025/Jun/2",2026-07-07T17:56:56.234172558Z,2025-06-09T19:06:08Z,"['CVE-2024-47081', 'PYSEC-2026-1872']"
ASSET-001,requests,2.25.1,PyPI,OSV,GHSA-9wx4-h78v-vm56,['CVE-2024-35195'],Requests `Session` object does not verify requests after making first request with verify=False,"When using a `requests.Session`, if the first request to a given origin is made with `verify=False`, TLS certificate verification may remain disabled for all subsequent requests to that origin, even if `verify=True` is explicitly specified later.

This occurs because the underlying connection is reused from the session's connection pool, causing the initial TLS verification setting to persist for the lifetime of the pooled connection. As a result, applications may unintentionally send requests without certificate verification, leading to potential man-in-the-middle attacks and compromised confidentiality or integrity.

This behavior affects versions of `requests` prior to 2.32.0.",2026-07-07T17:57:17.012984050Z,2024-05-20T20:15:00Z,"['CVE-2024-35195', 'PYSEC-2026-1873']"
ASSET-001,requests,2.25.1,PyPI,OSV,GHSA-gc5v-m9x4-r6x2,['CVE-2026-25645'],Requests has Insecure Temp File Reuse in its extract_zipped_paths() utility function,"### Impact
The `requests.utils.extract_zipped_paths()` utility function uses a predictable filename when extracting files from zip archives into the system temporary directory. If the target file already exists, it is reused without validation. A local attacker with write access to the temp directory could pre-create a malicious file that would be loaded in place of the legitimate one.

### Affected usages
**Standard usage of the Requests library is not affected by this vulnerability.** Only applications that call `extract_zipped_paths()` directly are impacted.

### Remediation
Upgrade to at least Requests 2.33.0, where the library now extracts files to a non-deterministic location.

If developers are unable to upgrade, they can set `TMPDIR` in their environment to a directory with restricted write access.",2026-03-27T22:17:33.595885Z,2026-03-25T16:56:28Z,['CVE-2026-25645']
ASSET-001,requests,2.25.1,PyPI,OSV,GHSA-j8r2-6x86-q33q,['CVE-2023-32681'],Unintended leak of Proxy-Authorization header in requests,"### Impact

Since Requests v2.3.0, Requests has been vulnerable to potentially leaking `Proxy-Authorization` headers to destination servers, specifically during redirects to an HTTPS origin. This is a product of how `rebuild_proxies` is used to recompute and [reattach the `Proxy-Authorization` header](https://github.com/psf/requests/blob/f2629e9e3c7ce3c3c8c025bcd8db551101cbc773/requests/sessions.py#L319-L328) to requests when redirected. Note this behavior has _only_ been observed to affect proxied requests when credentials are supplied in the URL user information component (e.g. `https://username:password@proxy:8080`).

**Current vulnerable behavior(s):**

1. HTTP → HTTPS: **leak**
2. HTTPS → HTTP: **no leak**
3. HTTPS → HTTPS: **leak**
4. HTTP → HTTP: **no leak**

For HTTP connections sent through the proxy, the proxy will identify the header in the request itself and remove it prior to forwarding to the destination server. However when sent over HTTPS, the `Proxy-Authorization` header must be sent in the CONNECT request as the proxy has no visibility into further tunneled requests. This results in Requests forwarding the header to the destination server unintentionally, allowing a malicious actor to potentially exfiltrate those credentials.

The reason this currently works for HTTPS connections in Requests is the `Proxy-Authorization` header is also handled by urllib3 with our usage of the ProxyManager in adapters.py with [`proxy_manager_for`](https://github.com/psf/requests/blob/f2629e9e3c7ce3c3c8c025bcd8db551101cbc773/requests/adapters.py#L199-L235). This will compute the required proxy headers in `proxy_headers` and pass them to the Proxy Manager, avoiding attaching them directly to the Request object. This will be our preferred option going forward for default usage.

### Patches
Starting in Requests v2.31.0, Requests will no longer attach this header to redirects with an HTTPS destination. This should have no negative impacts on the default behavior of the library as the proxy credentials are already properly being handled by urllib3's ProxyManager.

For users with custom adapters, this _may_ be potentially breaking if you were already working around this behavior. The previous functionality of `rebuild_proxies` doesn't make sense in any case, so we would encourage any users impacted to migrate any handling of Proxy-Authorization directly into their custom adapter.

### Workarounds
For users who are not able to update Requests immediately, there is one potential workaround.

You may disable redirects by setting `allow_redirects` to `False` on all calls through Requests top-level APIs. Note that if you're currently relying on redirect behaviors, you will need to capture the 3xx response codes and ensure a new request is made to the redirect destination.
```
import requests
r = requests.get('http://github.com/', allow_redirects=False)
```

### Credits

This vulnerability was discovered and disclosed by the following individuals.

Dennis Brinkrolf, Haxolot (https://haxolot.com/)
Tobias Funke, (tobiasfunke93@gmail.com)",2026-02-04T03:34:13.807518Z,2023-05-22T20:36:32Z,"['CVE-2023-32681', 'PYSEC-2023-74']"
